,C1,C2,C3,i-C4,n-C4,i-C5,n-C5,C6,C7,C8,C9,C10
C1,0,0.005,0.01,0.035,0.025,0.05,0.03,0.03,0.035,0.04,0.04,0.045
C2,0.005,0,0.005,0.005,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C3,0.01,0.005,0,0,0,0.015,0.015,0.01,0.005,0.005,0.005,0.005
i-C4,0.035,0.005,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
n-C4,0.025,0.01,0,0.005,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005
i-C5,0.05,0.02,0.015,0.005,0.005,0,0,0,0,0,0,0
n-C5,0.03,0.02,0.015,0.005,0.005,0,0,0,0,0,0,0
C6,0.03,0.02,0.01,0.005,0.005,0,0,0,0,0,0,0
C7,0.035,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
C8,0.04,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
C9,0.04,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
C10,0.045,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
